TeamName,PlayerName,Position,Games,Win rate,KDA

# Team: Bilibili Gaming
Bilibili Gaming,bin,Top,12,0.667,4.2
Bilibili Gaming,elk,Adc,12,0.667,4.4
Bilibili Gaming,knight,Mid,12,0.667,5.0
Bilibili Gaming,on,Support,12,0.667,2.7
Bilibili Gaming,wei,Jungle,3,0.3329999999999999,3.1
Bilibili Gaming,xun,Jungle,9,0.778,5.3

# Team: Dplus KIA
Dplus KIA,aiming,Adc,9,0.3329999999999999,4.8
Dplus KIA,kingen,Top,9,0.3329999999999999,1.8
Dplus KIA,lucid,Jungle,9,0.3329999999999999,1.7
Dplus KIA,moham,Support,9,0.3329999999999999,1.9
Dplus KIA,showmaker,Mid,9,0.3329999999999999,3.1

# Team: FlyQuest
FlyQuest,busio,Support,14,0.5,3.7
FlyQuest,bwipo,Top,14,0.5,1.7
FlyQuest,inspired,Jungle,14,0.5,4.7
FlyQuest,massu,Adc,14,0.5,4.4
FlyQuest,quad,Mid,14,0.5,5.2

# Team: Fnatic
Fnatic,humanoid,Mid,6,0.3329999999999999,2.2
Fnatic,jun,Support,6,0.3329999999999999,2.9
Fnatic,noah,Adc,6,0.3329999999999999,5.9
Fnatic,oscarinin,Top,6,0.3329999999999999,2.0
Fnatic,razork,Jungle,6,0.3329999999999999,3.1

# Team: G2 Esports
G2 Esports,brokenblade,Top,8,0.375,3.7
G2 Esports,caps,Mid,8,0.375,3.6
G2 Esports,hans sama,Adc,8,0.375,3.1
G2 Esports,mikyx,Support,8,0.375,1.8
G2 Esports,yike,Jungle,8,0.375,4.5

# Team: GAM Esports
GAM Esports,easylove,Adc,8,0.375,3.4
GAM Esports,elio,Support,8,0.375,2.8
GAM Esports,emo,Mid,8,0.375,3.2
GAM Esports,kiaya,Top,8,0.375,3.3
GAM Esports,levi,Jungle,8,0.375,2.3

# Team: Gen.G
Gen.G,canyon,Jungle,10,0.7,6.5
Gen.G,chovy,Mid,10,0.7,7.8
Gen.G,kiin,Top,10,0.7,3.8
Gen.G,lehends,Support,10,0.7,3.2
Gen.G,peyz,Adc,10,0.7,8.4

# Team: Hanwha Life Esports
Hanwha Life Esports,delight,Support,12,0.5,3.2
Hanwha Life Esports,doran,Top,12,0.5,2.9
Hanwha Life Esports,peanut,Jungle,12,0.5,3.6
Hanwha Life Esports,viper,Adc,12,0.5,4.2
Hanwha Life Esports,zeka,Mid,12,0.5,3.6

# Team: LNG Esports
LNG Esports,gala,Adc,8,0.625,7.2
LNG Esports,hang,Support,8,0.625,2.9
LNG Esports,scout,Mid,8,0.625,9.3
LNG Esports,weiwei,Jungle,8,0.625,3.9
LNG Esports,zika,Top,8,0.625,3.8

# Team: MAD Lions KOI
MAD Lions KOI,alvaro,Support,5,0.2,1.5
MAD Lions KOI,elyoya,Jungle,5,0.2,1.8
MAD Lions KOI,fresskowy,Mid,5,0.2,1.3
MAD Lions KOI,myrwn,Top,5,0.2,1.2
MAD Lions KOI,supa,Adc,5,0.2,1.6

# Team: PSG Talon
PSG Talon,azhi,Top,5,0.2,2.3
PSG Talon,betty,Adc,5,0.2,4.4
PSG Talon,junjia,Jungle,5,0.2,2.7
PSG Talon,maple,Mid,5,0.2,2.2
PSG Talon,woody,Support,5,0.2,3.3

# Team: PaiN Gaming
PaiN Gaming,cariok,Jungle,4,0.0,1.5
PaiN Gaming,dynquedo,Mid,4,0.0,2.4
PaiN Gaming,kuri,Support,4,0.0,2.0
PaiN Gaming,titan,Adc,4,0.0,1.8
PaiN Gaming,wizer,Top,4,0.0,1.6

# Team: T1
T1,faker,Mid,8,0.875,4.8
T1,gumayusi,Adc,8,0.875,9.1
T1,keria,Support,8,0.875,7.5
T1,oner,Jungle,8,0.875,6.8
T1,zeus,Top,8,0.875,7.1

# Team: Team Liquid
Team Liquid,apa,Mid,10,0.5,2.4
Team Liquid,corejj,Support,10,0.5,3.6
Team Liquid,impact,Top,10,0.5,2.5
Team Liquid,umti,Jungle,10,0.5,3.8
Team Liquid,yeon,Adc,10,0.5,4.9

# Team: Top Esports
Top Esports,369,Top,8,0.5,3.1
Top Esports,creme,Mid,8,0.5,3.6
Top Esports,jackeylove,Adc,8,0.5,3.4
Top Esports,meiko,Support,8,0.5,3.1
Top Esports,tian,Jungle,8,0.5,4.4

# Team: Weibo Gaming
Weibo Gaming,breathe,Top,13,0.615,4.1
Weibo Gaming,crisp,Support,13,0.615,3.7
Weibo Gaming,light,Adc,13,0.615,6.0
Weibo Gaming,tarzan,Jungle,13,0.615,3.5
Weibo Gaming,xiaohu,Mid,13,0.615,6.2
